chestcircumference,biacromialbreadth,chest_size,shoulder_size,result
922,373,M,L,conflict
839,372,S,L,conflict
874,397,S,XXL,conflict
1008,384,XL,XL,match
1089,378,XXL,L,conflict
1031,356,XL,M,conflict
988,358,L,M,conflict
968,365,L,M,conflict
831,355,S,M,conflict
1010,323,XL,XS,conflict
1065,406,XXL,XXXL,conflict
1034,387,XL,XL,match
1063,384,XXL,XL,conflict
937,418,M,XXXL,conflict
989,365,L,M,conflict
940,367,M,L,conflict
835,371,S,L,conflict
897,365,M,M,match
979,393,L,XXL,conflict
853,359,S,M,conflict
1090,342,XXL,S,conflict
941,388,L,XL,conflict
857,330,S,XS,conflict
973,372,L,L,match
975,383,L,XL,conflict
1026,370,XL,L,conflict
832,338,S,S,match
921,373,M,L,conflict
1032,386,XL,XL,match
904,370,M,L,conflict
951,363,L,M,conflict
950,329,L,XS,conflict
965,370,L,L,match
1115,370,XXL,L,conflict
1170,348,XXXL,S,conflict
895,365,M,M,match
944,356,L,M,conflict
833,334,S,XS,conflict
1025,360,XL,M,conflict
982,347,L,S,conflict
1060,373,XXL,L,conflict
991,368,L,L,match
994,371,L,L,match
1071,360,XXL,M,conflict
945,375,L,L,match
1094,395,XXL,XXL,match
932,391,M,XXL,conflict
1013,403,XL,XXXL,conflict
910,379,M,XL,conflict
793,340,XS,S,conflict
954,379,L,XL,conflict
1161,349,XXXL,S,conflict
1135,376,XXXL,L,conflict
1095,355,XXL,M,conflict
1014,373,XL,L,conflict
946,382,L,XL,conflict
814,356,XS,M,conflict
940,381,M,XL,conflict
988,356,L,M,conflict
904,371,M,L,conflict
876,367,S,L,conflict
1090,368,XXL,L,conflict
943,353,L,S,conflict
1132,388,XXXL,XL,conflict
977,385,L,XL,conflict
977,360,L,M,conflict
1006,349,XL,S,conflict
936,385,M,XL,conflict
1065,394,XXL,XXL,match
890,374,M,L,conflict
900,359,M,M,match
862,341,S,S,match
896,360,M,M,match
943,380,L,XL,conflict
1092,360,XXL,M,conflict
920,387,M,XL,conflict
1071,354,XXL,M,conflict
1001,372,XL,L,conflict
