chestcircumference,biacromialbreadth,chest_size,shoulder_size,result
1074,401,L,S,conflict
1021,394,M,S,conflict
1120,427,XL,L,conflict
1114,401,L,S,conflict
1048,435,M,XL,conflict
1066,404,L,M,conflict
1208,453,XXL,XXXL,conflict
1087,425,L,L,match
1181,415,XXL,M,conflict
964,406,S,M,conflict
1117,412,L,M,conflict
961,408,S,M,conflict
1151,453,XL,XXXL,conflict
1231,466,XXL,XXXL,conflict
1060,414,L,M,conflict
1092,413,L,M,conflict
1085,398,L,S,conflict
1118,385,XL,S,conflict
999,394,M,S,conflict
1127,399,XL,S,conflict
1000,420,M,L,conflict
977,395,S,S,match
1079,398,L,S,conflict
1011,440,M,XL,conflict
1098,410,L,M,conflict
957,375,S,XS,conflict
1158,442,XL,XXL,conflict
964,395,S,S,match
971,403,S,S,match
1057,400,L,S,conflict
957,414,S,M,conflict
1108,400,L,S,conflict
947,398,S,S,match
1043,428,M,L,conflict
965,427,S,L,conflict
1174,410,XXL,M,conflict
951,361,S,XS,conflict
1182,448,XXL,XXL,match
981,395,S,S,match
1086,422,L,L,match
865,386,XS,S,conflict
1205,420,XXL,L,conflict
1013,413,M,M,match
1152,428,XL,L,conflict
1096,410,L,M,conflict
957,404,S,M,conflict
985,388,S,S,match
1063,407,L,M,conflict
1137,391,XL,S,conflict
1106,393,L,S,conflict
1166,416,XL,L,conflict
1081,419,L,L,match
1006,379,M,XS,conflict
1153,399,XL,S,conflict
1037,406,M,M,match
1469,448,XXXL,XXL,conflict
901,394,XS,S,conflict
1071,403,L,S,conflict
1263,440,XXXL,XL,conflict
1146,449,XL,XXL,conflict
858,380,XS,XS,match
1044,410,M,M,match
904,397,XS,S,conflict
1033,400,M,S,conflict
1160,408,XL,M,conflict
971,373,S,XS,conflict
1050,381,M,XS,conflict
1213,447,XXL,XXL,match
944,419,S,L,conflict
989,395,S,S,match
975,415,S,M,conflict
939,372,S,XS,conflict
1091,396,L,S,conflict
983,421,S,L,conflict
1129,411,XL,M,conflict
1205,434,XXL,XL,conflict
1123,400,XL,S,conflict
1129,439,XL,XL,match
1048,447,M,XXL,conflict
1063,431,L,XL,conflict
1098,405,L,M,conflict
972,423,S,L,conflict
1127,395,XL,S,conflict
963,405,S,M,conflict
1098,425,L,L,match
953,353,S,XS,conflict
1024,404,M,M,match
1043,407,M,M,match
902,419,XS,L,conflict
1008,400,M,S,conflict
1027,429,M,XL,conflict
1044,402,M,S,conflict
917,395,XS,S,conflict
917,415,XS,M,conflict
924,435,S,XL,conflict
994,428,S,L,conflict
1001,403,M,S,conflict
1069,367,L,XS,conflict
995,439,S,XL,conflict
1104,421,L,L,match
1045,409,M,M,match
1015,405,M,M,match
1109,417,L,L,match
991,402,S,S,match
844,343,XS,XS,match
1176,407,XXL,M,conflict
1085,412,L,M,conflict
1085,428,L,L,match
1021,431,M,XL,conflict
1096,402,L,S,conflict
1063,399,L,S,conflict
1030,413,M,M,match
1106,412,L,M,conflict
1163,434,XL,XL,match
1089,412,L,M,conflict
1149,425,XL,L,conflict
1041,379,M,XS,conflict
1056,385,M,S,conflict
1358,447,XXXL,XXL,conflict
1025,416,M,L,conflict
1000,395,M,S,conflict
1026,420,M,L,conflict
989,389,S,S,match
1251,438,XXXL,XL,conflict
1030,427,M,L,conflict
970,385,S,S,match
1035,426,M,L,conflict
1076,435,L,XL,conflict
1038,415,M,M,match
1113,417,L,L,match
1011,378,M,XS,conflict
1024,413,M,M,match
997,428,M,L,conflict
1057,404,L,M,conflict
1082,440,L,XL,conflict
1002,369,M,XS,conflict
1132,438,XL,XL,match
1123,405,XL,M,conflict
1175,450,XXL,XXL,match
1021,428,M,L,conflict
1115,420,L,L,match
1112,435,L,XL,conflict
1165,427,XL,L,conflict
1056,401,M,S,conflict
1048,417,M,L,conflict
1137,422,XL,L,conflict
1041,418,M,L,conflict
1027,439,M,XL,conflict
1021,414,M,M,match
1001,450,M,XXL,conflict
1126,461,XL,XXXL,conflict
1225,445,XXL,XXL,match
1070,445,L,XXL,conflict
1102,416,L,L,match
1194,453,XXL,XXXL,conflict
1097,415,L,M,conflict
1208,424,XXL,L,conflict
1116,440,L,XL,conflict
995,387,S,S,match
1092,413,L,M,conflict
1079,455,L,XXXL,conflict
1179,408,XXL,M,conflict
1084,425,L,L,match
1150,445,XL,XXL,conflict
1098,412,L,M,conflict
1142,420,XL,L,conflict
1071,424,L,L,match
1021,396,M,S,conflict
1241,427,XXXL,L,conflict
1027,415,M,M,match
1167,452,XL,XXL,conflict
1082,431,L,XL,conflict
1139,418,XL,L,conflict
947,400,S,S,match
948,401,S,S,match
1058,411,L,M,conflict
1102,400,L,S,conflict
1179,435,XXL,XL,conflict
1028,412,M,M,match
1048,408,M,M,match
969,416,S,L,conflict
1125,412,XL,M,conflict
1049,388,M,S,conflict
957,430,S,XL,conflict
913,404,XS,M,conflict
995,408,S,M,conflict
1237,434,XXXL,XL,conflict
1018,433,M,XL,conflict
1059,452,L,XXL,conflict
907,401,XS,S,conflict
1063,422,L,L,match
1017,423,M,L,conflict
1130,418,XL,L,conflict
1156,438,XL,XL,match
