chestcircumference,biacromialbreadth,weightkg,stature,t-shirt size
87.4,39.7,663,1711,M
101.0,32.3,684,1590,XL
93.7,41.8,718,1666,L
109.0,34.2,800,1517,2XL
111.5,37.0,846,1677,3XL
99.1,36.8,689,1685,XL
99.4,37.1,758,1656,XL
93.2,39.1,714,1619,L
79.3,34.0,477,1582,S
113.5,37.6,887,1701,3XL
81.4,35.6,572,1654,S
87.6,36.7,697,1757,M
113.2,38.8,790,1635,3XL
93.6,38.5,574,1596,L
112.6,37.9,740,1585,3XL
99.9,38.2,782,1698,XL
99.8,35.9,674,1581,XL
93.4,37.6,670,1644,L
105.7,40.4,998,1745,2XL
82.6,35.0,471,1560,S
92.1,40.1,591,1730,L
87.8,37.4,676,1628,M
93.6,39.8,791,1737,L
93.1,36.9,639,1626,L
105.2,37.7,752,1538,2XL
93.7,38.0,742,1733,L
81.0,35.2,522,1526,S
99.1,37.1,767,1732,XL
81.5,35.4,575,1584,S
105.7,38.4,797,1671,2XL
113.7,33.8,745,1552,2XL
87.4,35.9,614,1633,M
99.2,36.4,679,1655,XL
82.8,35.6,507,1662,S
115.6,40.5,866,1701,3XL
88.6,36.6,523,1602,M
99.1,36.9,676,1549,XL
88.9,36.9,571,1677,M
87.5,33.8,570,1625,M
81.2,37.0,550,1634,S
87.8,35.0,602,1560,M
88.1,34.7,560,1540,M
111.8,37.4,708,1597,3XL
113.0,40.5,953,1749,3XL
93.4,36.3,655,1583,L
82.1,36.5,553,1575,S
81.7,35.9,529,1620,S
99.3,37.6,694,1617,XL
87.7,36.9,592,1572,M
81.8,35.7,540,1632,S
105.0,37.2,864,1657,2XL
88.1,38.9,672,1672,M
88.7,37.5,585,1633,M
82.5,34.5,467,1570,S
87.4,35.5,599,1616,M
87.3,35.6,548,1588,M
93.8,35.6,636,1642,L
93.1,40.4,755,1715,L
81.4,38.3,469,1653,S
87.0,38.3,642,1680,M
110.5,37.8,792,1680,3XL
93.8,37.0,653,1567,L
93.5,36.3,640,1565,L
99.2,34.6,708,1593,XL
109.3,33.7,734,1589,2XL
99.7,37.7,688,1597,XL
84.4,39.3,561,1663,M
99.7,36.5,733,1609,XL
93.4,35.8,722,1723,L
93.5,38.4,606,1648,L
87.2,37.4,573,1579,M
99.6,36.9,602,1587,XL
99.4,35.9,669,1604,XL
113.1,37.1,829,1603,3XL
87.8,34.7,596,1646,M
87.5,37.5,560,1680,M
113.9,38.7,871,1602,3XL
105.7,39.4,823,1688,2XL
99.1,37.7,754,1621,XL
104.6,37.0,820,1602,2XL
110.5,39.4,841,1603,3XL
119.6,36.2,842,1576,3XL
99.9,39.4,660,1619,XL
105.2,41.1,896,1754,2XL
104.8,37.2,845,1789,2XL
99.6,36.9,748,1573,XL
87.3,35.9,566,1575,M
86.1,38.1,583,1663,M
77.2,31.1,428,1513,S
80.0,38.1,556,1640,S
81.2,35.5,561,1613,S
105.8,36.2,662,1608,2XL
88.7,35.7,562,1595,M
103.7,32.8,679,1539,XL
82.7,36.4,570,1617,S
113.1,36.0,815,1672,3XL
88.1,37.5,643,1650,M
115.9,39.5,856,1631,3XL
86.6,39.1,632,1715,M
88.3,37.1,604,1600,M
99.3,35.8,702,1571,XL
112.2,34.9,771,1599,2XL
82.9,35.3,524,1602,S
105.9,37.1,824,1657,2XL
108.6,33.2,724,1626,2XL
104.3,36.5,785,1611,2XL
82.5,37.2,485,1586,S
88.4,36.2,630,1629,M
99.2,38.6,762,1630,XL
115.2,38.2,818,1688,3XL
75.7,33.1,400,1556,XS
87.5,36.5,690,1648,M
87.9,35.2,573,1575,M
93.5,36.2,617,1602,L
88.6,37.0,663,1669,M
93.5,36.2,655,1664,L
93.2,36.9,716,1710,L
115.0,38.5,1000,1656,3XL
99.1,37.6,791,1586,XL
104.5,35.4,740,1661,2XL
99.5,39.9,788,1724,XL
91.0,40.3,746,1707,L
87.2,36.4,661,1574,M
105.9,40.4,842,1715,2XL
114.2,39.2,983,1650,3XL
88.0,35.3,581,1568,M
105.0,40.1,835,1745,2XL
110.1,38.7,820,1657,3XL
87.8,37.3,616,1683,M
87.0,39.0,588,1672,M
79.4,34.7,511,1558,S
88.0,38.7,671,1730,M
83.8,38.7,565,1670,M
115.7,38.5,843,1680,3XL
88.5,38.7,643,1675,M
87.1,33.9,610,1613,M
111.5,40.1,925,1771,3XL
