,biacromialbreadth,chestcircumference
0,40.1,107.4
1,39.4,102.1
2,42.7,112.0
3,40.1,111.4
4,43.5,104.8
5,40.4,106.6
6,45.3,120.8
7,42.5,108.7
8,41.5,118.1
9,40.6,96.4
10,41.2,111.7
11,40.8,96.1
12,45.3,115.1
13,46.6,123.1
14,41.4,106.0
15,41.3,109.2
16,39.8,108.5
17,38.5,111.8
18,39.4,99.9
19,39.9,112.7
20,42.0,100.0
21,39.5,97.7
22,39.8,107.9
23,44.0,101.1
24,41.0,109.8
25,37.5,95.7
26,44.2,115.8
27,39.5,96.4
28,40.3,97.1
29,40.0,105.7
30,41.4,95.7
31,40.0,110.8
32,39.8,94.7
33,42.8,104.3
34,42.7,96.5
35,41.0,117.4
36,36.1,95.1
37,44.8,118.2
38,39.5,98.1
39,42.2,108.6
40,38.6,86.5
41,42.0,120.5
42,41.3,101.3
43,42.8,115.2
44,41.0,109.6
45,40.4,95.7
46,38.8,98.5
47,40.7,106.3
48,39.1,113.7
49,39.3,110.6
50,41.6,116.6
51,41.9,108.1
52,37.9,100.6
53,39.9,115.3
54,40.6,103.7
55,44.8,146.9
56,39.4,90.1
57,40.3,107.1
58,44.0,126.3
59,44.9,114.6
60,38.0,85.8
61,41.0,104.4
62,39.7,90.4
63,40.0,103.3
64,40.8,116.0
65,37.3,97.1
66,38.1,105.0
67,44.7,121.3
68,41.9,94.4
69,39.5,98.9
70,41.5,97.5
71,37.2,93.9
72,39.6,109.1
73,42.1,98.3
74,41.1,112.9
75,43.4,120.5
76,40.0,112.3
77,43.9,112.9
78,44.7,104.8
79,43.1,106.3
80,40.5,109.8
81,42.3,97.2
82,39.5,112.7
83,40.5,96.3
84,42.5,109.8
85,35.3,95.3
86,40.4,102.4
87,40.7,104.3
88,41.9,90.2
89,40.0,100.8
90,42.9,102.7
91,40.2,104.4
92,39.5,91.7
93,41.5,91.7
94,43.5,92.4
95,42.8,99.4
96,40.3,100.1
97,36.7,106.9
98,43.9,99.5
99,42.1,110.4
100,40.9,104.5
101,40.5,101.5
102,41.7,110.9
103,40.2,99.1
104,34.3,84.4
105,40.7,117.6
106,41.2,108.5
107,42.8,108.5
108,43.1,102.1
109,40.2,109.6
110,39.9,106.3
111,41.3,103.0
112,41.2,110.6
113,43.4,116.3
114,41.2,108.9
115,42.5,114.9
116,37.9,104.1
117,38.5,105.6
118,44.7,135.8
119,41.6,102.5
120,39.5,100.0
121,42.0,102.6
122,38.9,98.9
123,43.8,125.1
124,42.7,103.0
125,38.5,97.0
126,42.6,103.5
127,43.5,107.6
128,41.5,103.8
129,41.7,111.3
130,37.8,101.1
131,41.3,102.4
132,42.8,99.7
133,40.4,105.7
134,44.0,108.2
135,36.9,100.2
136,43.8,113.2
137,40.5,112.3
138,45.0,117.5
139,42.8,102.1
140,42.0,111.5
141,43.5,111.2
142,42.7,116.5
143,40.1,105.6
144,41.7,104.8
145,42.2,113.7
146,41.8,104.1
147,43.9,102.7
148,41.4,102.1
149,45.0,100.1
150,46.1,112.6
151,44.5,122.5
152,44.5,107.0
153,41.6,110.2
154,45.3,119.4
155,41.5,109.7
156,42.4,120.8
157,44.0,111.6
158,38.7,99.5
159,41.3,109.2
160,45.5,107.9
161,40.8,117.9
162,42.5,108.4
163,44.5,115.0
164,41.2,109.8
165,42.0,114.2
166,42.4,107.1
167,39.6,102.1
168,42.7,124.1
169,41.5,102.7
170,45.2,116.7
171,43.1,108.2
172,41.8,113.9
173,40.0,94.7
174,40.1,94.8
175,41.1,105.8
176,40.0,110.2
177,43.5,117.9
178,41.2,102.8
179,40.8,104.8
180,41.6,96.9
181,41.2,112.5
182,38.8,104.9
183,43.0,95.7
184,40.4,91.3
185,40.8,99.5
186,43.4,123.7
187,43.3,101.8
188,45.2,105.9
189,40.1,90.7
190,42.2,106.3
191,42.3,101.7
192,41.8,113.0
193,43.8,115.6
194,40.2,97.8
195,42.6,96.3
