chestcircumference,biacromialbreadth,weightkg,stature,t-shirt size
111.4,40.1,794,1655,XL
104.8,43.5,946,1914,L
111.7,41.2,882,1780,XL
123.1,46.6,1116,1861,3XL
111.8,38.5,969,1766,XL
99.9,39.4,760,1748,M
97.7,39.5,746,1680,M
97.1,40.3,782,1745,M
105.7,40.0,882,1818,L
110.8,40.0,947,1760,XL
104.3,42.8,879,1852,L
117.4,41.0,884,1791,2XL
98.1,39.5,719,1737,M
86.5,38.6,575,1744,XS
98.5,38.8,706,1740,M
110.6,39.3,856,1674,XL
116.6,41.6,1095,1779,2XL
146.9,44.8,1400,1840,3XL
90.1,39.4,674,1783,S
126.3,44.0,988,1703,3XL
85.8,38.0,566,1609,XS
104.4,41.0,717,1709,L
90.4,39.7,717,1835,S
97.1,37.3,662,1698,M
105.0,38.1,807,1671,L
98.9,39.5,749,1619,M
97.5,41.5,738,1772,M
93.9,37.2,604,1705,S
98.3,42.1,768,1726,M
104.8,44.7,887,1819,L
97.2,42.3,748,1723,M
104.3,40.7,882,1799,L
90.2,41.9,590,1740,S
104.4,40.2,866,1730,L
91.7,39.5,737,1785,S
91.7,41.5,654,1817,S
92.4,43.5,696,1843,S
99.4,42.8,775,1791,M
106.9,36.7,797,1701,L
99.5,43.9,744,1786,M
110.4,42.1,968,1755,XL
104.5,40.9,866,1791,L
110.9,41.7,920,1790,XL
99.1,40.2,814,1782,M
84.4,34.3,646,1839,XS
117.6,40.7,954,1880,2XL
110.6,41.2,822,1673,XL
116.3,43.4,1112,1831,2XL
104.1,37.9,782,1687,L
105.6,38.5,869,1756,L
135.8,44.7,1413,1846,3XL
98.9,38.9,699,1726,M
125.1,43.8,1212,1877,3XL
111.3,41.7,988,1739,XL
99.7,42.8,782,1746,M
105.7,40.4,831,1750,L
117.5,45.0,1080,1780,2XL
111.5,42.0,949,1797,XL
111.2,43.5,906,1755,XL
116.5,42.7,1069,1842,2XL
105.6,40.1,874,1656,L
104.8,41.7,879,1776,L
104.1,41.8,790,1685,L
122.5,44.5,1099,1819,3XL
110.2,41.6,951,1721,XL
111.6,44.0,951,1777,XL
99.5,38.7,721,1665,M
117.9,40.8,974,1733,2XL
124.1,42.7,1036,1807,3XL
116.7,45.2,1080,1955,2XL
105.8,41.1,851,1838,L
110.2,40.0,865,1706,XL
117.9,43.5,972,1809,2XL
104.8,40.8,842,1734,L
104.9,38.8,755,1724,L
91.3,40.4,701,1715,S
99.5,40.8,783,1757,M
123.7,43.4,1164,1916,3XL
105.9,45.2,908,1855,L
90.7,40.1,677,1718,S
97.8,40.2,725,1702,M
95.6,43.7,782,1842,M
98.5,39.3,728,1673,M
128.5,45.9,1109,1715,3XL
